nodenumber,    x-coordinate,    y-coordinate,    x-coordinate,    y-coordinate,  turb-diss-rate,turb-kinetic-energy,      x-velocity,      y-velocity,        pressure
         1, 5.400000000E-02, 0.000000000E+00, 5.400000000E-02, 0.000000000E+00, 7.084527624E-09, 3.200605321E-12, 0.000000000E+00, 0.000000000E+00, 3.226249152E-02
         2, 5.464948672E-02, 0.000000000E+00, 5.464948672E-02, 0.000000000E+00, 8.289083085E-09, 3.817793764E-12, 0.000000000E+00, 0.000000000E+00, 3.248429470E-02
         3, 5.529831787E-02, 0.000000000E+00, 5.529831787E-02, 0.000000000E+00, 9.678520787E-09, 4.524413923E-12, 0.000000000E+00, 0.000000000E+00, 3.269803114E-02
         4, 5.594647325E-02, 0.000000000E+00, 5.594647325E-02, 0.000000000E+00, 1.053777336E-08, 4.982596593E-12, 0.000000000E+00, 0.000000000E+00, 3.289827060E-02
         5, 5.659380807E-02, 0.000000000E+00, 5.659380807E-02, 0.000000000E+00, 1.229001457E-08, 5.859801763E-12, 0.000000000E+00, 0.000000000E+00, 3.307614769E-02
         6, 5.724022332E-02, 0.000000000E+00, 5.724022332E-02, 0.000000000E+00, 1.443830043E-08, 6.914185921E-12, 0.000000000E+00, 0.000000000E+00, 3.324689869E-02
         7, 5.788566383E-02, 0.000000000E+00, 5.788566383E-02, 0.000000000E+00, 1.499718153E-08, 7.198779420E-12, 0.000000000E+00, 0.000000000E+00, 3.341765564E-02
         8, 5.853011388E-02, 0.000000000E+00, 5.853011388E-02, 0.000000000E+00, 1.684858378E-08, 8.094444403E-12, 0.000000000E+00, 0.000000000E+00, 3.358640922E-02
         9, 5.917359118E-02, 0.000000000E+00, 5.917359118E-02, 0.000000000E+00, 2.021050958E-08, 9.706946843E-12, 0.000000000E+00, 0.000000000E+00, 3.377533271E-02
        10, 5.981613994E-02, 0.000000000E+00, 5.981613994E-02, 0.000000000E+00, 2.326700647E-08, 1.116538655E-11, 0.000000000E+00, 0.000000000E+00, 3.397462341E-02
        11, 6.045782389E-02, 0.000000000E+00, 6.045782389E-02, 0.000000000E+00, 2.584775821E-08, 1.238997946E-11, 0.000000000E+00, 0.000000000E+00, 3.416319199E-02
        12, 6.109871963E-02, 0.000000000E+00, 6.109871963E-02, 0.000000000E+00, 2.704125696E-08, 1.294708160E-11, 0.000000000E+00, 0.000000000E+00, 3.435071071E-02
        13, 6.173891077E-02, 0.000000000E+00, 6.173891077E-02, 0.000000000E+00, 3.075352625E-08, 1.470598768E-11, 0.000000000E+00, 0.000000000E+00, 3.456888474E-02
        14, 6.237848299E-02, 0.000000000E+00, 6.237848299E-02, 0.000000000E+00, 3.698754097E-08, 1.766689195E-11, 0.000000000E+00, 0.000000000E+00, 3.480645936E-02
        15, 6.301752025E-02, 0.000000000E+00, 6.301752025E-02, 0.000000000E+00, 4.013505136E-08, 1.915083820E-11, 0.000000000E+00, 0.000000000E+00, 3.498183259E-02
        16, 6.365610190E-02, 0.000000000E+00, 6.365610190E-02, 0.000000000E+00, 3.894586624E-08, 1.856700924E-11, 0.000000000E+00, 0.000000000E+00, 3.514577757E-02
        17, 6.429430085E-02, 0.000000000E+00, 6.429430085E-02, 0.000000000E+00, 4.071528231E-08, 1.939397287E-11, 0.000000000E+00, 0.000000000E+00, 3.539867854E-02
        18, 6.493218244E-02, 0.000000000E+00, 6.493218244E-02, 0.000000000E+00, 4.527178626E-08, 2.154897008E-11, 0.000000000E+00, 0.000000000E+00, 3.571234035E-02
        19, 6.556980400E-02, 0.000000000E+00, 6.556980400E-02, 0.000000000E+00, 4.738033702E-08, 2.253842611E-11, 0.000000000E+00, 0.000000000E+00, 3.604856709E-02
        20, 6.620721492E-02, 0.000000000E+00, 6.620721492E-02, 0.000000000E+00, 4.922498639E-08, 2.340398811E-11, 0.000000000E+00, 0.000000000E+00, 3.641646833E-02
        21, 6.684445703E-02, 0.000000000E+00, 6.684445703E-02, 0.000000000E+00, 5.506372029E-08, 2.616725246E-11, 0.000000000E+00, 0.000000000E+00, 3.684264347E-02
        22, 6.748156522E-02, 0.000000000E+00, 6.748156522E-02, 0.000000000E+00, 6.161723494E-08, 2.926889381E-11, 0.000000000E+00, 0.000000000E+00, 3.732387872E-02
        23, 6.811856817E-02, 0.000000000E+00, 6.811856817E-02, 0.000000000E+00, 6.469966940E-08, 3.072220411E-11, 0.000000000E+00, 0.000000000E+00, 3.784308725E-02
        24, 6.875548921E-02, 0.000000000E+00, 6.875548921E-02, 0.000000000E+00, 6.733406760E-08, 3.196409088E-11, 0.000000000E+00, 0.000000000E+00, 3.839369308E-02
        25, 6.939234702E-02, 0.000000000E+00, 6.939234702E-02, 0.000000000E+00, 7.074546995E-08, 3.357605193E-11, 0.000000000E+00, 0.000000000E+00, 3.899320833E-02
        26, 7.002915645E-02, 0.000000000E+00, 7.002915645E-02, 0.000000000E+00, 8.002391267E-08, 3.797056054E-11, 0.000000000E+00, 0.000000000E+00, 3.966571750E-02
        27, 7.066592914E-02, 0.000000000E+00, 7.066592914E-02, 0.000000000E+00, 8.991315052E-08, 4.265298354E-11, 0.000000000E+00, 0.000000000E+00, 4.039677575E-02
        28, 7.130267416E-02, 0.000000000E+00, 7.130267416E-02, 0.000000000E+00, 9.601708837E-08, 4.554032416E-11, 0.000000000E+00, 0.000000000E+00, 4.116067242E-02
